,statusText,price,address,addressZipcode,beds,baths,area,rentZestimate,variableData.text,units
0,Apartment for rent,3500,"1533 Beryl St #1-R, San Diego, CA 92109",92109,1.0,1.0,420.0,,17 days ago,
1,Apartment for rent,3500,"(undisclosed Address), San Diego, CA 92109",92109,2.0,1.0,750.0,,21 days ago,
2,House for rent,7500,"815 Ostend Ct, San Diego, CA 92109",92109,3.0,3.0,1414.0,4855.0,19 days ago,
3,Apartment for rent,3999,"1235 Parker Pl UNIT 3K, San Diego, CA 92109",92109,2.0,2.0,866.0,3796.0,22 days ago,
4,Apartment for rent,3100,"(undisclosed Address), San Diego, CA 92109",92109,1.0,1.0,500.0,,19 days ago,
5,Apartment for rent,2795,"737 Wave Crest Ct, San Diego, CA 92109",92109,1.0,1.0,500.0,2495.0,3 days ago,
6,Apartment for rent,2900,"844 Diamond St, San Diego, CA 92109",92109,2.0,1.0,900.0,,16 days ago,
7,Apartment for rent,2375,"1049 Felspar St UNIT 24, San Diego, CA 92109",92109,0.0,1.0,405.0,2314.0,28 days ago,
8,Apartment for rent,4500,"3888 Riviera Dr UNIT 206, San Diego, CA 92109",92109,2.0,2.0,1039.0,4288.0,19 days ago,
9,House for rent,2850,"4060 Kendall St, San Diego, CA 92109",92109,1.0,1.0,500.0,8147.0,6 days ago,
10,Apartment for rent,3700,"1345 Felspar St #4, San Diego, CA 92109",92109,2.0,1.0,840.0,,23 days ago,
11,Apartment for rent,4300,"4015 Crown Point Dr UNIT 110, San Diego, CA 92109",92109,2.0,2.0,973.0,3804.0,8 days ago,
12,Apartment for rent,6900,"1161 Pacific Beach Dr, San Diego, CA 92109",92109,2.0,3.0,1825.0,8473.0,30 days ago,
13,Townhouse for rent,5300,"1473 Chalcedony St, San Diego, CA 92109",92109,3.0,3.0,1349.0,5284.0,20 days ago,
14,House for rent,3800,"3721 Yosemite St, San Diego, CA 92109",92109,2.0,1.0,1031.0,3999.0,19 days ago,
15,Apartment for rent,4100,"1804 Missouri St #1806, San Diego, CA 92109",92109,2.0,1.0,988.0,,23 days ago,
16,House for rent,2700,"1277 Beryl St, San Diego, CA 92109",92109,1.0,1.0,792.0,6716.0,11 days ago,
17,Apartment for rent,2900,"1220 Pacific Beach Dr APT 5, San Diego, CA 92109",92109,1.0,1.0,650.0,2795.0,2 days ago,
18,Apartment for rent,5999,"4050 Riviera Dr, San Diego, CA 92109",92109,2.0,2.5,1595.0,4888.0,30 days ago,
19,Townhouse for rent,5000,"811 Anacapa Ct, San Diego, CA 92109",92109,3.0,2.0,1400.0,5206.0,4 days ago,
20,Apartment for rent,7000,"3227 Ocean Front Walk, San Diego, CA 92109",92109,2.0,1.0,1000.0,3775.0,10 days ago,
21,Townhouse for rent,5600,"1568 Oliver Ave APT A, San Diego, CA 92109",92109,3.0,3.0,1650.0,5495.0,42 days ago,
22,Townhouse for rent,4395,"1756 Reed Ave, San Diego, CA 92109",92109,2.0,2.5,1328.0,4699.0,23 days ago,
23,Apartment for rent,3000,"739 San Luis Rey Pl, San Diego, CA 92109",92109,0.0,1.0,400.0,2300.0,42 days ago,
24,Apartment for rent,3500,"725 San Luis Rey Pl #725, San Diego, CA 92109",92109,1.0,1.0,500.0,,43 days ago,
25,House for rent,7500,"988 Agate St, San Diego, CA 92109",92109,3.0,2.0,1000.0,4981.0,22 days ago,
26,House for rent,5500,"(undisclosed Address), San Diego, CA 92109",92109,2.0,2.0,1000.0,4323.0,42 days ago,
27,Apartment for rent,3400,"840 Turquoise St UNIT 304, San Diego, CA 92109",92109,1.0,1.0,642.0,3000.0,30 days ago,
28,Apartment for rent,4000,"4869 Cass St, San Diego, CA 92109",92109,3.0,1.0,1050.0,,11 days ago,
29,Apartment for rent,2350,"1920 Felspar St #6, San Diego, CA 92109",92109,1.0,1.0,600.0,,24 days ago,
30,Apartment for rent,2450,"1327 Grand Ave, San Diego, CA 92109",92109,1.0,1.0,630.0,3699.0,30 days ago,
31,House for rent,1900,"3555 Promontory St, San Diego, CA 92109",92109,1.0,1.0,170.0,12048.0,8 days ago,
32,Apartment for rent,2895,"3726 Ingraham St, San Diego, CA 92109",92109,2.0,1.0,800.0,3261.0,2 hours ago,
33,House for rent,4000,"811 Santa Clara Pl, San Diego, CA 92109",92109,2.0,2.0,1200.0,4498.0,10 days ago,
34,Apartment for rent,1895,"2176 Thomas Ave APT 4, San Diego, CA 92109",92109,0.0,1.0,450.0,1997.0,29 days ago,
35,Townhouse for rent,3500,"4510 Bond St, San Diego, CA 92109",92109,3.0,1.5,1100.0,,12 days ago,
36,Apartment for rent,4500,"2050 Pacific Beach Dr UNIT 107, San Diego, CA 92109",92109,3.0,2.0,1565.0,4970.0,25 days ago,
37,House for rent,10500,"1542 Monmouth Dr, San Diego, CA 92109",92109,4.0,3.0,1986.0,6499.0,Video Walkthrough,
38,Apartment for rent,2950,"7744 Fay Ave UNIT 203, La Jolla, CA 92037",92037,1.0,1.0,690.0,3046.0,2 days ago,
39,Apartment for rent,2495,"440 Nautilus St, La Jolla, CA 92037",92037,1.0,1.0,450.0,2495.0,4 days ago,
40,Apartment for rent,4100,"5410 La Jolla Blvd #A212, La Jolla, CA 92037",92037,1.0,2.0,1340.0,6847.0,11 days ago,
41,House for rent,15000,"1294 Silverado St, La Jolla, CA 92037",92037,2.0,2.0,1734.0,6822.0,12 days ago,
42,Apartment for rent,3500,"(undisclosed Address), La Jolla, CA 92037",92037,1.0,1.0,400.0,,5 days ago,
43,House for rent,12500,"7944 Prospect Pl, La Jolla, CA 92037",92037,4.0,4.0,3247.0,14707.0,10 days ago,
44,House for rent,6500,"6535 Caminito Northland, La Jolla, CA 92037",92037,3.0,3.0,2800.0,6646.0,4 days ago,
45,House for rent,8250,"902 Newkirk Dr, La Jolla, CA 92037",92037,2.0,2.0,1800.0,8170.0,2 days ago,
46,House for rent,4700,"520 Arenas St, La Jolla, CA 92037",92037,2.0,1.0,1000.0,4205.0,9 days ago,
47,House for rent,15000,"2686 Caminito Prado, La Jolla, CA 92037",92037,4.0,4.0,3500.0,11473.0,4 days ago,
48,Apartment for rent,3500,"8803 Gilman Dr UNIT H, La Jolla, CA 92037",92037,2.0,1.5,885.0,3200.0,20 hours ago,
49,Apartment for rent,3700,"8722 Villa La Jolla Dr UNIT 97, La Jolla, CA 92037",92037,2.0,1.5,1104.0,3394.0,25 days ago,
50,House for rent,20000,"2641 Costebelle Dr, La Jolla, CA 92037",92037,5.0,7.0,5376.0,21786.0,18 days ago,
51,House for rent,10500,"5385 La Jolla Mesa Dr, La Jolla, CA 92037",92037,4.0,5.0,4274.0,11497.0,28 days ago,
52,Townhouse for rent,7500,"312 Palomar Ave, La Jolla, CA 92037",92037,3.0,2.5,1900.0,8840.0,11 days ago,
53,House for rent,15000,"(undisclosed Address), La Jolla, CA 92037",92037,3.0,2.0,1570.0,9140.0,3D Tour,
54,Apartment for rent,3800,"8850 Villa La Jolla Dr UNIT 207, La Jolla, CA 92037",92037,2.0,2.0,1243.0,3495.0,30 days ago,
55,House for rent,9875,"1211 W Muirlands Dr, La Jolla, CA 92037",92037,4.0,3.0,3309.0,11833.0,18 days ago,
56,House for rent,6950,"7818 Exchange Pl, La Jolla, CA 92037",92037,3.0,3.0,1950.0,7928.0,12 days ago,
57,House for rent,12000,"(undisclosed Address), La Jolla, CA 92037",92037,4.0,2.0,2400.0,11894.0,1 day ago,
58,House for rent,18500,"7578 Cabrillo Ave, La Jolla, CA 92037",92037,2.0,2.0,1802.0,11784.0,35 days ago,
59,House for rent,12600,"5695 Soledad Mountain Rd, La Jolla, CA 92037",92037,5.0,4.5,4000.0,11694.0,42 days ago,
60,House for rent,9700,"6144 Castejon Dr, La Jolla, CA 92037",92037,4.0,2.0,2304.0,8712.0,42 days ago,
61,Apartment for rent,6000,"1039 Coast Blvd UNIT E, La Jolla, CA 92037",92037,2.0,2.0,1294.0,6175.0,30 days ago,
62,House for rent,36000,"1245 Coast Blvd, La Jolla, CA 92037",92037,3.0,4.5,5156.0,19053.0,30 days ago,
63,Apartment for rent,8500,"5430 La Jolla Blvd UNIT C202, La Jolla, CA 92037",92037,2.0,2.0,1827.0,7900.0,30 days ago,
64,Townhouse for rent,7500,"6624 La Jolla Blvd, La Jolla, CA 92037",92037,3.0,3.5,1586.0,7535.0,9 days ago,
65,House for rent,7800,"252 Palomar Ave, La Jolla, CA 92037",92037,3.0,2.0,1366.0,11383.0,10 days ago,
66,Apartment for rent,8000,"1761 Colgate Cir #2, La Jolla, CA 92037",92037,2.0,2.0,1750.0,7189.0,12 days ago,
67,House for rent,20000,"7274 Via Capri, La Jolla, CA 92037",92037,4.0,3.5,2700.0,9815.0,8 days ago,
68,House for rent,24000,"5904 Camino De La Costa, La Jolla, CA 92037",92037,4.0,2.5,3079.0,16610.0,40 days ago,
69,House for rent,39000,"1241 Coast Blvd, La Jolla, CA 92037",92037,3.0,5.0,5664.0,22799.0,30 days ago,
70,Townhouse for rent,4250,"8694 Villa La Jolla Dr UNIT 5, La Jolla, CA 92037",92037,3.0,3.0,1356.0,4028.0,43 days ago,
71,Townhouse for rent,6500,"603 Fern Gln, La Jolla, CA 92037",92037,2.0,2.5,,6777.0,5 days ago,
72,House for rent,15500,"1402 Rodeo Dr, La Jolla, CA 92037",92037,4.0,3.5,2600.0,13587.0,42 days ago,
73,Apartment for rent,6500,"8030 La Jolla Shores Dr, La Jolla, CA 92037",92037,3.0,2.0,1600.0,8500.0,43 days ago,
74,House for rent,10895,"5484 Chelsea Ave, La Jolla, CA 92037",92037,4.0,3.0,2854.0,13756.0,42 days ago,
75,House for rent,11000,"7209 Fay Ave, La Jolla, CA 92037",92037,4.0,4.0,2858.0,12490.0,7 days ago,
76,House for rent,5700,"6655 Hollycrest Ct, San Diego, CA 92121",92121,5.0,3.0,3000.0,6428.0,8 days ago,
77,House for rent,5600,"6534 Windward Ridge Way, San Diego, CA 92121",92121,5.0,3.0,2893.0,6499.0,18 days ago,
78,Townhouse for rent,3500,"10368 Wateridge Cir UNIT 329, San Diego, CA 92121",92121,2.0,2.5,1148.0,3633.0,4 days ago,
79,House for rent,3995,"5128 Sea Mist Ct, San Diego, CA 92121",92121,3.0,2.0,1532.0,4300.0,24 days ago,
80,Apartment for rent,6500,"5874 Oceanview Ridge Ln #A, San Diego, CA 92121",92121,5.0,3.0,2432.0,,43 days ago,
81,Townhouse for rent,3850,"9310 Towne Centre Dr UNIT 72, San Diego, CA 92121",92121,2.0,3.0,1222.0,3558.0,18 days ago,
82,Apartment for rent,3395,"9664 Caminito Del Feliz #37, San Diego, CA 92121",92121,3.0,1.5,1113.0,3964.0,24 days ago,
83,Apartment for rent,4100,"9505 Easter Way APT 8, San Diego, CA 92121",92121,3.0,2.5,1264.0,3896.0,17 days ago,
84,Townhouse for rent,3500,"10272 Wateridge Cir UNIT 232, San Diego, CA 92121",92121,2.0,3.0,1148.0,3664.0,21 days ago,
85,House for rent,4895,"10758 Juniper Park Ln, San Diego, CA 92121",92121,4.0,3.0,2432.0,5995.0,5 days ago,
86,Townhouse for rent,3800,"4495 Vision Dr, San Diego, CA 92121",92121,2.0,2.5,1150.0,4294.0,2 days ago,
87,Townhouse for rent,4150,"10180 Wateridge Cir, San Diego, CA 92121",92121,3.0,2.5,1390.0,4194.0,42 days ago,
88,Apartment for rent,2650,"3718 Ingraham St #3718, San Diego, CA 92109",92109,1.0,1.0,500.0,2394.0,3 days ago,
89,Apartment for rent,1395,"2618 Figueroa Blvd, San Diego, CA 92109",92109,1.0,1.0,350.0,2175.0,5 days ago,
90,House for rent,9995,"(undisclosed Address), San Diego, CA 92109",92109,4.0,3.5,2100.0,8395.0,15 days ago,
91,Apartment for rent,3995,"(undisclosed Address), San Diego, CA 92109",92109,1.0,1.0,850.0,3800.0,6 days ago,
92,Apartment for rent,2195,"886 Agate St #886, San Diego, CA 92109",92109,1.0,1.0,650.0,,16 days ago,
93,Apartment for rent,2200,"(undisclosed Address), San Diego, CA 92109",92109,1.0,1.0,800.0,2412.0,43 days ago,
94,Apartment for rent,2525,"1051 Law St #7, San Diego, CA 92109",92109,1.0,1.0,725.0,2995.0,2 days ago,
95,Apartment for rent,2150,"Maya Linda, 9646 Carroll Canyon Rd, San Diego, CA 92126",92126,1.0,1.0,650.0,2701.0,39 days ago,
96,House for rent,3595,"11303 Kelowna Rd, San Diego, CA 92126",92126,4.0,2.0,1614.0,3933.0,19 hours ago,
97,Townhouse for rent,2700,"11185 Kelowna Rd #63-1, San Diego, CA 92126",92126,2.0,1.0,698.0,,20 hours ago,
98,House for rent,2395,"10535 Caminito Westchester, San Diego, CA 92126",92126,2.0,1.0,932.0,2650.0,1 day ago,
99,House for rent,3100,"10202 Trails End Cir, San Diego, CA 92126",92126,3.0,2.0,1134.0,3663.0,2 days ago,
100,Apartment for rent,950,"7908 Port Royale Dr #2, San Diego, CA 92126",92126,1.0,1.0,160.0,1605.0,3 days ago,
101,House for rent,4000,"10911 New Salem Ct, San Diego, CA 92126",92126,4.0,2.0,1622.0,4099.0,2 days ago,
102,House for rent,2200,"8418D Summerdale Rd, San Diego, CA 92126",92126,2.0,2.0,986.0,,3 days ago,
103,House for rent,2350,"9715 Mesa Springs Way UNIT 202, San Diego, CA 92126",92126,1.0,1.0,772.0,2345.0,12 days ago,
104,House for rent,3450,"6960 Kensley Way, San Diego, CA 92126",92126,3.0,3.0,1448.0,3999.0,23 hours ago,
105,Apartment for rent,2195,"9586 Carroll Canyon Rd APT 164, San Diego, CA 92126",92126,1.0,1.0,604.0,2370.0,18 hours ago,
106,Apartment for rent,2600,"10006 Maya Linda Rd UNIT 5101, San Diego, CA 92126",92126,2.0,2.0,956.0,2799.0,3 days ago,
107,House for rent,2800,"11432 Vela Dr, San Diego, CA 92126",92126,2.0,1.0,600.0,2497.0,14 days ago,
108,House for rent,1250,"11371 Bootes St, San Diego, CA 92126",92126,4.0,3.0,1405.0,3499.0,1 day ago,
109,House for rent,4495,"7992 Merrington Pl, San Diego, CA 92126",92126,4.0,2.5,2138.0,5000.0,9 days ago,
110,House for rent,4500,"10697 Glendover Ln, San Diego, CA 92126",92126,4.0,2.5,1795.0,4500.0,3 hours ago,
111,House for rent,3900,"10945 Welsh Rd, San Diego, CA 92126",92126,3.0,2.0,1757.0,3899.0,22 days ago,
112,Townhouse for rent,4000,"11108 Caminito Inocenta, San Diego, CA 92126",92126,4.0,3.0,2169.0,5029.0,20 days ago,
113,Apartment for rent,2150,"10210 Black Mountain Rd APT 38, San Diego, CA 92126",92126,1.0,1.0,525.0,2094.0,3D Tour,
114,Townhouse for rent,3999,"10539 Caminito Pollo, San Diego, CA 92126",92126,4.0,2.0,1750.0,3934.0,30 days ago,
115,Apartment for rent,2800,"10970 Summerdale Way APT 315, San Diego, CA 92126",92126,2.0,2.0,897.0,2995.0,9 days ago,
116,House for rent,3395,"9446 Compass Point Dr S UNIT 6, San Diego, CA 92126",92126,3.0,2.5,1349.0,3595.0,43 days ago,
117,Apartment for rent,2750,"7389 Calle Cristobal UNIT 237, San Diego, CA 92126",92126,2.0,2.0,864.0,2995.0,3D Tour,
118,House for rent,5195,"7912 Dancy Rd, San Diego, CA 92126",92126,4.0,2.0,1366.0,3737.0,42 days ago,
119,Apartment for rent,2600,"8690 New Salem St UNIT 186, San Diego, CA 92126",92126,2.0,2.0,831.0,2650.0,1 day ago,
120,Apartment for rent,1900,"(undisclosed Address), San Diego, CA 92126",92126,1.0,1.0,400.0,,1 day ago,
121,Apartment for rent,2500,"8520 Summerdale Rd APT 49, San Diego, CA 92126",92126,1.0,1.0,561.0,2188.0,3 days ago,
122,Apartment for rent,2600,"10720 Aderman Ave APT 55, San Diego, CA 92126",92126,2.0,2.0,920.0,2900.0,2 days ago,
123,Apartment for rent,3800,"11165 Taloncrest Way UNIT 45, San Diego, CA 92126",92126,3.0,2.0,1465.0,3999.0,2 days ago,
124,Apartment for rent,3200,"7644 Palmilla Dr UNIT 23, San Diego, CA 92122",92122,2.0,2.0,1004.0,3499.0,7 days ago,
125,Apartment for rent,3500,"7612 Palmilla Dr UNIT 46, San Diego, CA 92122",92122,2.0,2.0,1004.0,3458.0,4 days ago,
126,Condo for rent,2175,"6214 Agee St UNIT 39, San Diego, CA 92122",92122,1.0,1.0,692.0,2496.0,9 days ago,
127,Townhouse for rent,6300,"4082 Mahaila Ave UNIT F, San Diego, CA 92122",92122,4.0,2.5,1819.0,4692.0,12 days ago,
128,Apartment for rent,1900,"2921 Renault St, San Diego, CA 92122",92122,1.0,1.0,540.0,2355.0,8 days ago,
129,House for rent,2995,"4124 Camino Ticino, San Diego, CA 92122",92122,2.0,1.0,882.0,2892.0,1 day ago,
130,Apartment for rent,1950,"6350 Genesee Ave UNIT 210, San Diego, CA 92122",92122,1.0,1.0,578.0,2250.0,7 days ago,
131,House for rent,10000,"5966 Carnegie St, San Diego, CA 92122",92122,4.0,3.0,2254.0,5962.0,24 days ago,
132,House for rent,4495,"3076 Governor Dr, San Diego, CA 92122",92122,3.0,2.0,1400.0,4500.0,42 days ago,
133,House for rent,6500,"4026 Caminito Cassis, San Diego, CA 92122",92122,4.0,3.0,2435.0,5999.0,39 days ago,
134,House for rent,5900,"7855 Calle Juela, La Jolla, CA 92037",92037,4.0,2.5,2600.0,9841.0,24 days ago,
135,House for rent,11495,"249 Playa Del Norte St, La Jolla, CA 92037",92037,3.0,3.5,3000.0,10624.0,19 days ago,
136,House for rent,25000,"887 La Jolla Rancho Rd, La Jolla, CA 92037",92037,4.0,3.5,3786.0,15088.0,17 days ago,
137,House for rent,7900,"2139 Torrey Pines Rd, La Jolla, CA 92037",92037,6.0,4.0,3400.0,8945.0,42 days ago,
138,House for rent,6595,"846 Forward St, La Jolla, CA 92037",92037,3.0,2.0,1500.0,7108.0,43 days ago,
139,Townhouse for rent,6250,"1804 Caminito Ascua, La Jolla, CA 92037",92037,3.0,3.0,2069.0,6087.0,30 minutes ago,
140,House for rent,6250,"5736 Caminito Pulsera, La Jolla, CA 92037",92037,3.0,2.5,2558.0,5999.0,9 days ago,
141,House for rent,9500,"6672 Avenida Manana, La Jolla, CA 92037",92037,3.0,2.0,2070.0,9823.0,29 days ago,
142,House for rent,8900,"5565 Beaumont Ave, La Jolla, CA 92037",92037,4.0,2.5,2800.0,11219.0,22 days ago,
143,Condo for rent,3900,"8537 Villa La Jolla Dr APT D, La Jolla, CA 92037",92037,1.0,1.0,691.0,2305.0,39 days ago,
144,House for rent,6495,"6689 La Jolla Scenic Dr S, La Jolla, CA 92037",92037,4.0,3.5,2500.0,8999.0,37 days ago,
145,House for rent,8900,"2035 Caminito El Canario, La Jolla, CA 92037",92037,4.0,3.0,3240.0,9105.0,43 days ago,
146,House for rent,5995,"5747 La Jolla Blvd, La Jolla, CA 92037",92037,2.0,2.0,1600.0,6851.0,5 days ago,
147,Apartment for rent,6800,"7635 Draper Ave, La Jolla, CA 92037",92037,2.0,2.0,1830.0,8470.0,39 days ago,
148,House for rent,6295,"2010 Caminito San Nicholas, La Jolla, CA 92037",92037,3.0,2.0,1700.0,5713.0,Video Walkthrough,
149,Apartment for rent,11750,"7147 Fay Ave, La Jolla, CA 92037",92037,3.0,3.5,3006.0,9040.0,10 days ago,
150,House for rent,11000,"1307 Massena St, La Jolla, CA 92037",92037,4.0,2.5,3340.0,10588.0,42 days ago,
151,House for rent,6488,"712 Silver St, La Jolla, CA 92037",92037,3.0,3.0,2292.0,10659.0,1 day ago,
152,Townhouse for rent,3995,"8627 Via Mallorca UNIT F, La Jolla, CA 92037",92037,3.0,2.5,1680.0,4194.0,43 days ago,
153,House for rent,5700,"1629 Caminito Barlovento, La Jolla, CA 92037",92037,2.0,2.0,1670.0,5850.0,15 days ago,
154,House for rent,5850,"5436 Caminito San Lucas, La Jolla, CA 92037",92037,3.0,2.5,2080.0,6028.0,23 days ago,
155,House for rent,8500,"5559 Chelsea Ave, La Jolla, CA 92037",92037,3.0,2.5,2030.0,11032.0,22 days ago,
156,House for rent,9800,"1563 Calle Candela, La Jolla, CA 92037",92037,5.0,2.5,3118.0,10372.0,22 days ago,
157,Apartment for rent,1800,"SVO: RG, 1141 Silverado St #111, La Jolla, CA 92037",92037,0.0,1.0,200.0,1741.0,30 days ago,
158,House for rent,7495,"7276 Rue Michael, La Jolla, CA 92037",92037,4.0,2.0,2169.0,8594.0,43 days ago,
159,House for rent,29500,"1718 Valdes Dr, La Jolla, CA 92037",92037,4.0,7.0,6380.0,24345.0,22 hours ago,
160,House for rent,25000,"7803 Prospect Pl, La Jolla, CA 92037",92037,4.0,6.0,5476.0,22501.0,42 days ago,
161,House for rent,7300,"940 W Muirlands Dr, La Jolla, CA 92037",92037,4.0,2.0,2000.0,8150.0,42 days ago,
162,House for rent,18500,"1141 Muirlands Vista Way, La Jolla, CA 92037",92037,4.0,4.5,4300.0,20162.0,42 days ago,
163,Apartment for rent,2900,"7512 Draper Ave, La Jolla, CA 92037",92037,1.0,1.0,440.0,2449.0,43 days ago,
164,Apartment for rent,1995,"1121-1129 Torrey Pines, 1121-1129 N Torrey Pines Rd #1125A, La Jolla, CA 92037",92037,1.0,1.0,,,8 days ago,
165,Apartment for rent,12500,"354 Kolmar St, La Jolla, CA 92037",92037,3.0,2.5,1904.0,8682.0,42 days ago,
166,House for rent,19000,"5802 Corral Way, La Jolla, CA 92037",92037,4.0,3.5,5500.0,25055.0,43 days ago,
167,Apartment for rent,8500,"1040 Genter St UNIT 305, La Jolla, CA 92037",92037,3.0,3.0,2893.0,8849.0,2 hours ago,
168,Apartment for rent,3695,"7556 Herschel Ave, La Jolla, CA 92037",92037,1.0,1.0,600.0,2995.0,1 day ago,
169,Townhouse for rent,5895,"2585 Caminito Muirfield, La Jolla, CA 92037",92037,3.0,2.5,1858.0,5949.0,1 day ago,
170,House for rent,10499,"6087 Firwood Row, La Jolla, CA 92037",92037,4.0,3.5,2939.0,8470.0,1 day ago,
171,House for rent,14950,"1865 Soledad Ave, La Jolla, CA 92037",92037,5.0,4.0,4335.0,13015.0,2 days ago,
172,Apartment for rent,6000,"800 Prospect St UNIT 4C, La Jolla, CA 92037",92037,2.0,2.0,1142.0,5000.0,4 days ago,
173,Apartment for rent,2995,"The Grand Apartments Pacific Beach, 930 Felspar St APT 9, San Diego, CA 92109",92109,1.0,1.0,550.0,2899.0,22 days ago,
174,Apartment for rent,2395,"3600 Mission, 3600 Mission Blvd APT 10, San Diego, CA 92109",92109,1.0,1.0,,2389.0,13 hours ago,
