price,unit-type,beds,note,bedrooms,price-per-bed
3814,Studio,1,minimum price listed in range,0,3814.0
4367,1,1,minimum price listed in range,1,4367.0
4904,2,2,minimum price listed in range,2,2452.0
8200,3,3,minimum price listed in range,3,2733.33
2785,1,1,minimum price listed in range,1,2785.0
3210,2,2,minimum price listed in range,2,1605.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
3620,2,2,minimum price listed in range,2,1810.0
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3094,1,1,minimum price listed in range,1,3094.0
3496,2,2,minimum price listed in range,2,1748.0
4595,3,3,minimum price listed in range,3,1531.67
3010,1,1,minimum price listed in range,1,3010.0
3565,2,2,minimum price listed in range,2,1782.5
3814,Studio,1,minimum price listed in range,0,3814.0
4367,1,1,minimum price listed in range,1,4367.0
4904,2,2,minimum price listed in range,2,2452.0
8200,3,3,minimum price listed in range,3,2733.33
2785,1,1,minimum price listed in range,1,2785.0
3210,2,2,minimum price listed in range,2,1605.0
2760,1,1,minimum price listed in range,1,2760.0
3735,2,2,minimum price listed in range,2,1867.5
3620,2,2,minimum price listed in range,2,1810.0
2775,1,1,minimum price listed in range,1,2775.0
3825,2,2,minimum price listed in range,2,1912.5
4900,3,3,minimum price listed in range,3,1633.33
3365,1,1,minimum price listed in range,1,3365.0
4850,2,2,minimum price listed in range,2,2425.0
6415,3,3,minimum price listed in range,3,2138.33
2925,1,1,minimum price listed in range,1,2925.0
4000,2,2,minimum price listed in range,2,2000.0
4975,3,3,minimum price listed in range,3,1658.33
3094,1,1,minimum price listed in range,1,3094.0
3496,2,2,minimum price listed in range,2,1748.0
4595,3,3,minimum price listed in range,3,1531.67
